store,city,zip,income,educ,age9,age60,hsizeavg,density,unemp,retired,mortgage
89,CHICAGO,60632,10.308119,0.053349435,0.1521155,0.20581135,2.7904086,0.00033337888,0.18820088,0.22031936,0.45752144
90,CHICAGO,60617,10.504657,0.050193455,0.12972257,0.22521958,2.6614785,0.0015342255,0.20825754,0.23535831,0.5066202
91,OAK LAWN,60453,10.538449,0.14431012,0.11623504,0.2557306,2.5465796,0.00064845494,0.1788275,0.20986925,0.6902431
92,HAZEL CREST,60429,10.657801,0.27012664,0.14848956,0.13782763,2.9579208,0.0016448245,0.19685344,0.13330233,0.8212635
93,EVANSTON,60202,10.36719,0.3630164,0.11251277,0.14239019,2.2246432,0.00033043922,0.19799937,0.12829009,0.68406004
94,BLOOMINGDALE,60108,10.744515,0.2293904,0.16041006,0.1030022,2.8450289,0.0013868684,0.17719063,0.080267556,0.8813082
95,CHICAGO,60634,10.383472,0.085642084,0.11263533,0.23071751,2.5426278,0.00022728801,0.18750519,0.21012512,0.4513889
97,AURORA,60506,10.483746,0.17818278,0.16859995,0.14243324,2.7969277,0.002832479,0.17787337,0.13493322,0.70886403
98,CHICAGO,60638,10.573596,0.05170282,0.1185165,0.24920054,2.706075,0.00038725528,0.17871396,0.20985465,0.49505928
100,CHICAGO,60608,10.036575,0.049550287,0.18436098,0.13699514,3.0802574,0.00019364357,0.2400746,0.18784972,0.46265823
101,DES PLAINES,60016,10.659938,0.17474186,0.116924934,0.22503522,2.5170949,0.00089394243,0.14930156,0.15505932,0.6590087
102,MERRIONETTE PARK,60655,10.4938545,0.12065754,0.14694592,0.21662623,2.706289,0.00036452417,0.19263525,0.21550815,0.5879817
103,BOLINGBROOK,60439,10.585245,0.1946211,0.18539399,0.058053967,3.3085122,0.0018453329,0.21287736,0.06302928,0.9587912
104,ST CHARLES,60174,10.698853,0.24968447,0.16293614,0.13528638,2.7635107,0.0033701684,0.17715035,0.13381484,0.74340576
105,MELROSE PARK,60160,10.414393,0.09423559,0.14756487,0.17554213,2.927787,0.00042232493,0.1735478,0.16118562,0.6196319
106,MONTGOMERY,60538,10.506846,0.15793931,0.18740316,0.10988735,2.9143069,0.0022308305,0.20478515,0.113602124,0.77081454
107,WESTCHESTER,60154,10.827131,0.27305192,0.11908932,0.26186746,2.5744324,0.001137893,0.1690637,0.19621094,0.6169475
109,BANNOCKBURN,60015,11.233198,0.4769167,0.1475198,0.15105565,2.8562844,0.0019185394,0.18762802,0.13418908,0.7778251
110,EAST DUNDEE,60118,10.52086,0.16755319,0.17559406,0.114956684,3.0110776,0.0031828657,0.18142317,0.108684614,0.80202776
111,CHICAGO,60620,10.138283,0.09692892,0.14587422,0.21051285,2.8242064,0.00020778223,0.22398438,0.23610872,0.68540347
112,BUFFALO GROVE,60090,10.882659,0.3298985,0.16361186,0.08972372,2.6619565,0.0007968329,0.18141107,0.06922866,0.9401577
113,CHICAGO,60646,10.64766,0.15159243,0.10308493,0.29935256,2.4720085,0.00039185816,0.16312633,0.23142596,0.47784925
114,CALUMET CITY,60409,10.347949,0.094424516,0.14681976,0.1821733,2.6506965,0.00062184344,0.20230202,0.17859226,0.699463
115,NAPERVILLE,60540,10.947485,0.4063125,0.18549351,0.060280055,3.0426564,0.001748207,0.19835696,0.06841841,0.91126144
116,ELMHURST,60126,10.697113,0.25922474,0.13987723,0.18817338,2.71938,0.0007235029,0.16674836,0.15531045,0.66390616
117,SCHAUMBURG,60193,10.7609625,0.24908355,0.13909371,0.11010273,2.6755157,0.0010966156,0.16320175,0.0760037,0.94467276
118,MORTON GROVE,60053,10.632363,0.22472589,0.10379182,0.2894424,2.5218217,0.00088773237,0.140255,0.1848816,0.6491343
119,BUFFALO GROVE,60089,10.752719,0.27995202,0.14566958,0.12157497,2.5930653,0.0009006097,0.15471004,0.07948495,0.9206581
121,WILLOWBROOK,60514,10.949929,0.35061288,0.1312511,0.16358133,2.527295,0.00081022986,0.17174515,0.12849794,0.75107205
122,HOFFMAN ESTATES,60194,10.775053,0.25588906,0.16735739,0.06195391,2.8581367,0.0010115355,0.18615277,0.055971112,0.9604733
123,CHICAGO,60630,10.334101,0.15319149,0.1384776,0.17604095,2.745207,0.000270794,0.19610633,0.17515038,0.53019536
124,OAK PARK,60302,10.258957,0.26187584,0.15326461,0.119625814,2.578219,0.00019320351,0.2404116,0.1445276,0.73523736
126,WHEATON,60187,10.980876,0.4132224,0.16005988,0.10700227,2.747763,0.0009979487,0.17887539,0.09331307,0.87982386
128,CHICAGO,60645,10.153429,0.2118969,0.13820851,0.15748519,2.376468,0.00027765497,0.18093102,0.1570387,0.6286408
129,LAKE ZURICH,60047,10.999864,0.30784255,0.17250146,0.10341287,2.916177,0.0042978683,0.197065,0.11131399,0.82581556
130,CHICAGO,60649,9.96665,0.14340685,0.15092918,0.14511731,2.4615521,0.0001879888,0.23188335,0.17390028,0.85239565
131,ROLLING MEADOWS,60008,10.793537,0.2713958,0.12425222,0.1706548,2.5111203,0.00070533546,0.15410487,0.12036896,0.8168128
132,MATTESON,60443,10.619154,0.26452845,0.14674823,0.13961735,2.851318,0.0027919572,0.1889086,0.11968157,0.8460887
134,WEST CHICAGO,60185,10.722518,0.24794914,0.19281782,0.09015265,3.0511076,0.0044012764,0.19465375,0.0901507,0.8689055
137,EVANSTON,60201,10.96649,0.52836204,0.14644283,0.20960245,2.605644,0.00047684147,0.17899111,0.18801948,0.71155685
